Pregunta;Respuesta;
¿Qué certificados se deben presentar para entregar los fondos a los herederos?;Respuesta: Se deben presentar el Certificado de Posesión Efectiva y el Certificado del Servicio de Impuestos Internos que demuestre el pago o exención del impuesto a la herencia.;
¿Qué documentos se deben presentar para autorizar el retiro y/o pago de fondos a los herederos?;Respuesta: Se deben presentar el Certificado de Posesión Efectiva y el Certificado del Servicio de Impuestos Internos que demuestre el pago o exención del impuesto a la herencia. Si los herederos actúan representados, se debe adjuntar un mandato por escritura pública o poder autorizado ante notario público.;
¿Cómo debe realizar el Banco el pago a los herederos?;Respuesta: El Banco debe hacer el pago a todos los herederos conjuntamente, ya sea personalmente o representados.;
¿Qué se debe hacer si no se incluyeron todos los productos en el trámite de posesión efectiva?;Respuesta: No puedo responder la pregunta con la información entregada;
¿Cuánto tiempo debe permanecer abierta la cuenta corriente después del fallecimiento del titular?;Respuesta: La cuenta corriente debe permanecer abierta por aproximadamente 60 días desde la fecha de muerte que indique el certificado de defunción.;
¿Qué documentos se requieren para solicitar una ampliación de posesión efectiva si no se incluyeron todos los productos en el trámite inicial?;Respuesta: No puedo responder la pregunta con la información entregada;
¿A quién debe estar dirigida la orden judicial; al Banco o a la compañía de seguros?;Respuesta: La orden judicial debe estar dirigida específicamente al Banco.
¿A qué departamento se deben enviar todas las notificaciones judiciales?;Respuesta: Gerencia Legal.;
¿Con quiénes se debe validar la legalidad de la orden judicial?;Respuesta: Con los abogados en Gerencia Legal.;
¿Qué se debe hacer con la copia de la resolución notificada por correo electrónico?;Respuesta: La copia de la resolución notificada por correo electrónico debe ser entregada a Fiscalía.;
¿Qué información se debe proporcionar a Informe Legal en relación con la orden judicial?;Respuesta: Todas las notificaciones judiciales deben ser enviadas a Gerencia Legal.;
¿Se puede firmar un comprobante de recepción sin autorización del área legal?;Respuesta: No puedo responder la pregunta con la información entregada;
¿A dónde se debe dirigir el receptor judicial en caso de embargos en sucursales de Santiago?;Respuesta: Las notificaciones judiciales deben ser enviadas a Gerencia Legal.;
¿A qué área se debe solicitar el monto de los saldos disponibles para embargo?;Respuesta: No puedo responder la pregunta con la información entregada;
¿Qué se debe hacer con los fondos embargados de forma inmediata?;Respuesta: Los fondos embargados deben ser bloqueados o retenidos de inmediato.;
¿Qué se debe incluir en el correo de respaldo al abogado solicitante?;Respuesta: El correo de respaldo al abogado solicitante debe incluir la confirmación de la retención o bloqueo de los fondos embargados.;
"¿Qué se debe dejar registrado en el libro de ""notificaciones""?";Respuesta: No puedo responder la pregunta con la información entregada;
¿Qué se debe hacer en caso de orden de remisión de los fondos embargados?;"Respuesta: El área de ""Consultas y Solicitudes"" debe encargarse de la tarea de remitir los fondos embargados y desbloquear la cuenta una vez que los fondos sean retirados.";
¿Qué se debe hacer en caso de orden de retener los fondos embargados?;Respuesta: Se debe generar una cuenta de varios acreedores hasta que se reciba una nueva orden para remitir los fondos.;
¿Cuáles son las consecuencias del incumplimiento del embargo por parte del Banco?;Respuesta: El Banco será responsable del pago de las sumas que no se retuvieron y podría enfrentar sanciones y acciones penales.;
¿A quién se debe entregar una copia de la resolución en caso de cancelación de la orden de embargo?;Respuesta: Se debe entregar una copia de la resolución a Fiscalía.;
¿Qué se debe hacer para levantar el embargo y desbloquear o devolver los fondos embargados al cliente?;"Respuesta: Se debe entregar una copia de la resolución que cancele la orden del Banco a Fiscalía y Gerencia Legal enviará instrucciones para levantar el embargo al área de ""Consultas y Solicitudes"" y desbloquear y/o devolver los fondos embargados al cliente, según corresponda.";
¿Qué departamento se encarga de la remisión de los fondos embargados según los términos indicados?;"Respuesta: El departamento encargado de la remisión de los fondos embargados es el área de ""Consultas y Solicitudes"".";
¿Quién es responsable de pagar las sumas no retenidas en caso de incumplimiento del embargo?;Respuesta: El Banco es responsable de pagar las sumas no retenidas en caso de incumplimiento del embargo.;
¿Qué sanciones y acciones penales puede enfrentar el Banco en caso de incumplimiento del embargo?;Respuesta: El Banco podría enfrentar sanciones y acciones penales si no cumple con el embargo a pesar de tener fondos disponibles al momento de recibir la orden.;
¿Qué instrucciones se deben seguir de Gerencia Legal para levantar el embargo y desbloquear o devolver los fondos embargados al cliente?;"Respuesta: Gerencia Legal enviará instrucciones para levantar el embargo al área de ""Consultas y Solicitudes"" y desbloquear y/o devolver los fondos embargados al cliente, según corresponda.";
¿Bajo qué circunstancias el Banco puede traspasar saldos entre las cuentas de un mismo cliente?;Respuesta: El Banco puede traspasar saldos entre las cuentas de un mismo cliente titular de múltiples Cuentas Corrientes, siempre y cuando cuente con la autorización correspondiente del titular o sus apoderados.;
¿En qué situaciones puede el Banco cargar el valor de las cuotas morosas de créditos contratados por el titular de la cuenta?;Respuesta: El Banco puede cargar el valor de las cuotas morosas de créditos contratados por el titular de la cuenta si la cuenta tiene disponibilidad de fondos o existe línea de sobregiro disponible, existe autorización escrita y expresa del comitente para este efecto, y el cargo se realiza después de haber pagado los cheques recibidos en canje en el día en que se materialice dicho cargo.;
¿Qué puede hacer el Banco con el valor de los cheques devueltos por cualquier causa en la cuenta del depositante?;Respuesta: El Banco puede cargarlos de inmediato en la cuenta del depositante.;
¿Cuáles son las condiciones para depositar documentos valorados a nombre de un tercero en una Cuenta Corriente o Cuenta Vista?;Respuesta: Los documentos valorados a nombre de un tercero solo pueden ser depositados en una Cuenta Corriente o Cuenta Vista si han sido endosados por el tercero correspondiente.;
¿Qué requisito se necesita para depositar un vale vista endosable en una Cuenta Corriente o Cuenta Vista?;Respuesta: Se necesita el endoso del tercero correspondiente.;
¿Qué se permite en caso de que un cliente no sepa o no pueda firmar?;Respuesta: Si un cliente no puede o no sabe firmar, deberá obtener la autorización de un Notario Público para firmar presencialmente.;
¿Qué certificación se requiere en caso de utilizar la firma a ruego con la impresión del pulgar?;Respuesta: Se requiere la autorización del Notario Público para firmar presencialmente.;
¿Qué ocurre con los productos de un cliente con Cuenta Corriente que entra en proceso de liquidación?;Respuesta: En caso de que un cliente con Cuenta Corriente entre en proceso de liquidación, se debe consultar al área de Normalización. En caso de liquidación concursal, se requiere el cierre inmediato de todos los productos del cliente, incluida la Cuenta Corriente. En caso de renegociación, se deben mantener vigentes todos los productos, incluida la Cuenta Corriente, de acuerdo a la Ley 20.720.;
¿Qué sucede con la Cuenta Corriente de un cliente en caso de renegociación?;Respuesta: En caso de renegociación, se deben mantener vigentes todos los productos, incluida la Cuenta Corriente, de acuerdo a la Ley 20.720.;
¿Se pueden cargar las cuotas morosas de créditos sin autorización por escrito y disponibilidad de fondos?;Respuesta: No, se requiere autorización escrita y expresa del comitente y disponibilidad de fondos o línea de sobregiro disponible.;
¿Se permite el depósito de documentos valorados a nombre de terceros sin endoso?;Respuesta: No.;
¿Se puede depositar un vale vista endosable en una Cuenta Corriente sin el endoso del tercero a favor del tomador?;Respuesta: No, no se puede depositar un vale vista endosable en una Cuenta Corriente sin el endoso del tercero correspondiente.;
¿Se puede utilizar la firma a ruego sin la certificación notarial?;Respuesta: No se puede utilizar la firma a ruego sin la certificación notarial.;
¿Se pueden mantener abiertos algunos productos de un cliente con Cuenta Corriente en proceso de liquidación?;Respuesta: Depende del proceso de liquidación. En caso de liquidación concursal, se requiere el cierre inmediato de todos los productos del cliente, incluida la Cuenta Corriente. En caso de renegociación, se deben mantener vigentes todos los productos, incluida la Cuenta Corriente, de acuerdo a la Ley 20.720. En caso de duda, se debe consultar al área de Normalización.;
¿Se cierra la Cuenta Corriente en caso de renegociación?;Respuesta: No, la Cuenta Corriente se mantiene vigente en caso de renegociación según la Ley 20.720.;
¿El Banco puede traspasar saldos entre las cuentas de un mismo cliente sin autorización del titular o sus apoderados?;Respuesta: No puedo responder la pregunta con la información entregada;
¿El Banco puede cargar el valor de las cuotas morosas de créditos sin disponibilidad de fondos?;Respuesta: No, el Banco solo puede cargar el valor de las cuotas morosas de créditos si la cuenta tiene disponibilidad de fondos o existe línea de sobregiro disponible. Además, se requiere autorización escrita y expresa del comitente para este efecto, y el cargo se debe realizar después de haber pagado los cheques recibidos en canje en el día en que se materialice dicho cargo.;
¿El Banco puede cargar el valor de los cheques devueltos solo por ciertas causas en la cuenta del depositante?;Respuesta: No, el Banco puede cargar los cheques devueltos por cualquier causa en la cuenta del depositante.;
¿Se puede depositar en una Cuenta Corriente o Cuenta Vista documentos valorados a nombre de cualquier tercero sin endoso?;Respuesta: No.;
¿Se puede depositar en una Cuenta Corriente o Cuenta Vista un vale vista endosable sin ningún tipo de endoso?;Respuesta: No.;
